country,region,number_of_doc
United Arab Emirates,Abu Zaby,2954
Netherlands,Flevoland,2954
Germany,Bremen,2952
United States,Minnesota,2927
Switzerland,Aargau,2906
United States,Tennessee,2892
Colombia,Valle del Cauca,2879
Mexico,Guanajuato,2876
Norway,Hordaland,2833
Poland,Zachodniopomorskie,2804
Hungary,Somogy,2800
Poland,Lubelskie,2796
Hungary,Veszprem,2781
Romania,Galati,2779
Chile,Araucania,2751
Czech Republic,Olomoucky kraj,2732
Russian Federation,Moskva,2732
United States,Connecticut,2722
Netherlands,Fryslan,2713
Italy,Friuli-Venezia Giulia,2706
Sweden,Ostergotlands Lan,2696
Croatia,Splitsko-dalmatinska zupanija,2686
Hungary,Baranya,2663
Viet Nam,Dong Nai,2655
United States,Nevada,2653
Chile,Los Lagos,2650
United States,Wisconsin,2650
United States,South Carolina,2638
Hungary,Szabolcs-Szatmar-Bereg,2630
Brazil,Sao Paulo,2592
Austria,Tirol,2551
France,Basse-Normandie,2538
Portugal,Setubal,2537
Czech Republic,Liberecky kraj,2509
France,Champagne-Ardenne,2499
Netherlands,Groningen,2481
Slovakia,Zilinsky kraj,2449
Austria,Salzburg,2445
Romania,Dolj,2400
United States,Utah,2397
Italy,Abruzzo,2367
Norway,Ostfold,2335
Belgium,Namur,2324
Spain,Extremadura,2316
Romania,Olt,2311
Poland,Opolskie,2303
Sweden,Jonkopings Lan,2296
Spain,"Asturias, Principado de",2289
Italy,Trentino-Alto Adige,2285
United States,Oregon,2275
Austria,Karnten,2273
Turkey,Mersin,2261
United States,Alabama,2232
Romania,Bacau,2201
Sweden,Uppsala Lan,2199
Sweden,Vastmanlands Lan,2184
Turkey,Adana,2171
South Africa,Free State,2168
Slovakia,Kosicky kraj,2153
Poland,Warminsko-Mazurskie,2109
Switzerland,Geneve,2099
United States,Louisiana,2069
Romania,Maramures,2000
Turkey,Balikesir,1990
Hungary,Heves,1982
Philippines,Rizal,1967
Romania,Bihor,1963
Slovakia,Trnavsky kraj,1952
Switzerland,Sankt Gallen,1952
Czech Republic,Plzensky kraj,1938
Portugal,Aveiro,1916
Mexico,Tamaulipas,1913
Australia,Australian Capital Territory,1892
Belgium,Brabant Wallon,1886
Slovakia,Presovsky kraj,1886
Switzerland,Luzern,1880
United Arab Emirates,Ash Shariqah,1863
Serbia,Vojvodina,1857
Hungary,Zala,1840
Bulgaria,Varna,1838
Lithuania,Klaipedos Apskritis,1827
Romania,Hunedoara,1826
Romania,Arad,1820
Czech Republic,Kralovehradecky kraj,1811
Czech Republic,Vysocina kraj,1794
Italy,Umbria,1787
Turkey,Aydin,1785
Costa Rica,San Jose,1780
Netherlands,Zeeland,1776
Portugal,Braga,1774
Hungary,Komarom-Esztergom,1773
Ecuador,Pichincha,1772
Argentina,Cordoba,1769
Hungary,Jasz-Nagykun-Szolnok,1760
Poland,Lubuskie,1759
Czech Republic,Jihocesky kraj,1754
Mexico,Aguascalientes,1730
Mexico,Coahuila,1726
United States,Kentucky,1723
Czech Republic,Zlinsky kraj,1707
Netherlands,Drenthe,1707
Portugal,Faro,1702
Croatia,Istarska zupanija,1695
Romania,Mures,1695
Romania,Suceava,1694
Sweden,Dalarnas Lan,1694
New Zealand,Waikato,1688
Slovakia,Banskobystricky kraj,1686
Finland,Varsinais-Suomi,1682
United States,Oklahoma,1668
