country,region,number_of_doc
Brazil,Mato Grosso do Sul,79
Honduras,Atlantida,79
Turkey,Tunceli,78
"Moldova, Republic of",Bender,78
Israel,Tel-Aviv,78
Slovenia,Zalec,77
Montenegro,Podgorica,76
Turkey,Hakkari,76
Brazil,Mato Grosso,76
Estonia,Jogevamaa,76
Brazil,Amazonas,76
Viet Nam,Yen Bai,75
Estonia,Polvamaa,75
Peru,Apurimac,75
Slovenia,Crensovci,75
Slovenia,Sentjur pri Celju,74
Uzbekistan,Toshkent,74
Brazil,Para,73
Slovenia,Miklavz na Dravskem Polju,73
Slovenia,Brezice,72
"Congo, The Democratic Republic of The",Kinshasa,71
Pakistan,Islamabad,71
Slovenia,Trebnje,71
Egypt,Al Jizah,71
Turkey,Kilis,71
Nepal,Bagmati,70
Brazil,Maranhao,70
Spain,Melilla,70
Dominican Republic,Monsenor Nouel,69
Colombia,Caqueta,69
Suriname,Paramaribo,69
Viet Nam,Phu Yen,69
Viet Nam,Ha Tinh,68
Viet Nam,Lao Cai,68
Argentina,Tierra del Fuego,68
Ukraine,Kharkivs'ka Oblast',67
Lithuania,-,67
Honduras,-,67
Lebanon,Beyrouth,67
Philippines,Cotabato,67
Brazil,Rio Grande do Norte,65
Viet Nam,Cao Bang,65
Slovenia,Gornja Radgona,65
Philippines,Isabela,65
Peru,Puno,65
Brazil,Piaui,65
Philippines,La Union,64
Honduras,Santa Barbara,64
Zimbabwe,Harare,64
Slovenia,Prevalje,63
Dominican Republic,Maria Trinidad Sanchez,63
Kuwait,Al Asimah,63
Viet Nam,Hoa Binh,62
Honduras,Valle,62
Slovenia,Lenart,62
Montenegro,Niksic,62
"Tanzania, United Republic of",Dar es Salaam,61
Slovenia,Radovljica,61
"Iran, Islamic Republic of",Kerman,61
Germany,-,61
Turkey,Bayburt,61
Saudi Arabia,Ash Sharqiyah,60
Dominican Republic,San Cristobal,60
El Salvador,La Libertad,60
"Bolivia, Plurinational State of",Potosi,60
Slovenia,Grosuplje,60
Latvia,Balvu,59
Ecuador,Azuay,59
Turkey,Bitlis,58
India,Bihar,58
Sweden,-,58
Latvia,Aizkraukles,58
Latvia,Siguldas,58
"Moldova, Republic of",Balti,58
Latvia,Bauskas,58
Philippines,Cagayan,57
Ukraine,Ivano-Frankivs'ka Oblast',57
Argentina,Catamarca,57
Slovenia,Bled,57
Dominican Republic,San Pedro De Macoris,56
Slovenia,Brezovica,55
Slovenia,Rogaska Slatina,55
Slovenia,Ivancna Gorica,54
Philippines,Negros Oriental,54
Guatemala,Zacapa,54
Ecuador,El Oro,53
Saudi Arabia,Makkah al Mukarramah,53
Dominican Republic,La Romana,53
Guatemala,Sacatepequez,53
China,Jiangsu,53
Syrian Arab Republic,Dimashq,53
Latvia,Limbazu,52
Iceland,Nordurland eystra,52
Curacao,Curacao,52
Madagascar,Antananarivo,52
India,Odisha,52
Jordan,Al 'Asimah,51
Benin,Littoral,51
Japan,Osaka,51
Ukraine,Zakarpats'ka Oblast',51
United Arab Emirates,Umm al Qaywayn,51
Philippines,Aklan,51
Paraguay,Asuncion,51
Slovenia,Bohinj,50
El Salvador,Santa Ana,49
Ecuador,Loja,49
Cambodia,Phnom Penh,49
Gabon,Estuaire,49
Slovenia,Jesenice,49
"Moldova, Republic of",Ialoveni,48
Philippines,Misamis Occidental,48
Slovenia,Slovenska Bistrica,48
"Venezuela, Bolivarian Republic of",Distrito Federal,48
Ukraine,Dnipropetrovs'ka Oblast',47
Slovenia,Zagorje ob Savi,47
Israel,Hefa,47
Uruguay,Maldonado,46
"Moldova, Republic of",Orhei,46
Latvia,Cesu,45
Martinique,Martinique,45
Latvia,Kuldigas,45
Philippines,Agusan del Norte,45
Switzerland,Appenzell Innerrhoden,45
China,Henan,44
Slovenia,Slovenj Gradec,44
Poland,-,44
Ukraine,Ternopil's'ka Oblast',44
Viet Nam,Tuyen Quang,44
Guatemala,San Marcos,44
Botswana,South-East,44
Japan,Aichi,43
Slovenia,Poljcane,43
Guatemala,Escuintla,43
Armenia,Erevan,43
Slovenia,Zrece,43
Honduras,Islas de la Bahia,43
Faroe Islands,Streymoy,43
Seychelles,English River,42
Philippines,Bukidnon,42
El Salvador,Usulutan,42
Morocco,Marrakech-Tensift-Al Haouz,42
Lesotho,Maseru,42
Japan,Saitama,42
Brazil,Alagoas,42
Morocco,Tanger-Tetouan,42
Malaysia,Johor,42
India,Chhattisgarh,41
"Moldova, Republic of",Cahul,41
Mauritius,Plaines Wilhems,41
Haiti,Ouest,41
Algeria,Oran,41
"Moldova, Republic of",Ocnita,40
Iraq,Baghdad,40
Brazil,Sergipe,40
Brazil,Rondonia,40
"Venezuela, Bolivarian Republic of",Zulia,40
Slovenia,Hrastnik,40
Mali,Bamako,40
Algeria,Constantine,40
Slovenia,Dravograd,40
Latvia,Olaines,40
Jersey,Jersey,40
Togo,Maritime,39
Dominican Republic,La Vega,39
Algeria,Annaba,39
Hungary,-,39
Colombia,Putumayo,38
"Moldova, Republic of","Stinga Nistrului, unitatea teritoriala din",38
Ecuador,Manabi,38
Indonesia,Jawa Timur,38
Ghana,Greater Accra,38
Viet Nam,Quang Binh,38
"Macedonia, The Former Yugoslav Republic of",Bitola,37
Slovenia,Postojna,37
Slovenia,Logatec,37
Slovenia,Mozirje,37
China,Shanghai,37
Tunisia,Nabeul,36
Latvia,Gulbenes,36
Dominican Republic,La Altagracia,36
Slovenia,Pivka,36
Iraq,Arbil,36
India,Assam,36
Cyprus,Lemesos,35
Bulgaria,-,35
Liechtenstein,Vaduz,35
Pakistan,Khyber Pakhtunkhwa,35
Japan,Chiba,35
Latvia,Ludzas,35
Viet Nam,Ha Giang,35
Rwanda,Ville de Kigali,34
Japan,Kanagawa,34
Philippines,Abra,34
Slovenia,Ig,34
Bahrain,Al Asimah,34
Japan,Hyogo,34
Slovenia,Ribnica,33
Guernsey,Guernsey (general),33
Honduras,Yoro,33
Philippines,Ilocos Sur,33
Slovenia,Trbovlje,33
Congo,Brazzaville,33
Peru,Tacna,33
Guatemala,Chiquimula,33
"Iran, Islamic Republic of",Khuzestan,32
Slovenia,Kranjska Gora,32
Latvia,Malpils,32
El Salvador,Ahuachapan,32
Slovenia,Kidricevo,32
Algeria,Tipaza,32
Brazil,-,32
Ecuador,Tungurahua,32
Viet Nam,Dien Bien,32
Monaco,Monaco,32
Greenland,Kommuneqarfik Sermersooq,32
India,Jammu and Kashmir,31
Oman,Masqat,31
"Venezuela, Bolivarian Republic of",Bolivar,31
Ecuador,Chimborazo,31
Philippines,Ilocos Norte,31
Afghanistan,Kabul,31
"Moldova, Republic of",Hincesti,30
Slovenia,Radece,30
Slovenia,Racam,30
Ukraine,Khmel'nyts'ka Oblast',30
Latvia,Ozolnieku,30
India,Chandigarh,30
Fiji,Central,30
Slovenia,Kocevje,30
Ukraine,Kirovohrads'ka Oblast',30
Tunisia,Sousse,30
Latvia,-,30
Macao,Macau,29
Brazil,Tocantins,28
French Polynesia,Iles du Vent,28
Malaysia,Pulau Pinang,28
"Moldova, Republic of",Falesti,28
Lebanon,Mont-Liban,28
Honduras,Colon,28
Viet Nam,Son La,28
China,Sichuan,28
"Moldova, Republic of",Soroca,27
Malaysia,Sarawak,27
Slovenia,Sencur,27
Ukraine,Zaporiz'ka Oblast',27
India,Uttarakhand,27
Morocco,Fes-Boulemane,27
Bangladesh,Chittagong,27
"Venezuela, Bolivarian Republic of",Carabobo,26
Tunisia,Aiana,26
Slovenia,Vojnik,26
Philippines,Albay,26
Slovenia,Cerknica,25
Aland Islands,Mariehamn,25
Russian Federation,Leningradskaya oblast',25
Slovenia,Metlika,25
Russian Federation,Novgorodskaya oblast',25
Lao People's Democratic Republic,Vientiane,25
Tunisia,Al Munastir,25
Russian Federation,Kemerovskaya oblast',25
Slovenia,Ravne na Koroskem,25
Peru,Moquegua,25
Montenegro,Zabljak,25
Greece,Iraklion,24
"Venezuela, Bolivarian Republic of",Miranda,24
Brunei Darussalam,Brunei-Muara,24
Puerto Rico,Aguas Buenas,24
Liechtenstein,Eschen,24
Turkey,Igdir,24
"Moldova, Republic of",Drochia,24
China,Fujian,24
Philippines,Samar (Western Samar),24
"Moldova, Republic of",Rezina,24
Tunisia,Sfax,23
Guadeloupe,Guadeloupe,23
"Venezuela, Bolivarian Republic of",Anzoategui,23
Slovenia,Radenci,23
Montenegro,Bar,23
Slovenia,Ormoz,23
Latvia,Adazu,23
Latvia,Rojas,23
Estonia,Hiiumaa,23
Malaysia,Sabah,23
Sri Lanka,Southern Province,23
Ukraine,Poltavs'ka Oblast',23
"Bolivia, Plurinational State of",Tarija,23
Dominican Republic,Puerto Plata,23
Slovenia,Vrhnika,22
China,Shandong,22
Ukraine,Mykolaivs'ka Oblast',22
Russian Federation,Primorskiy kray,22
"Taiwan, Province of China",T'ai-pei,22
Ecuador,Los Rios,22
India,Himachal Pradesh,22
Slovenia,Crnomelj,22
Israel,HaTsafon,22
Russian Federation,"Bashkortostan, Respublika",22
Japan,Fukuoka,22
China,Shanxi,22
Slovenia,Trzic,22
Honduras,Copan,22
Malaysia,Perak,21
Kazakhstan,Soltustik Qazaqstan oblysy,21
Morocco,L'Oriental,21
Jamaica,Kingston,21
Ukraine,Vinnyts'ka Oblast',21
Indonesia,Riau,21
Slovenia,Hoce-Slivnica,21
Russian Federation,Krasnodarskiy kray,21
Myanmar,Yangon,21
Nigeria,Abuja Federal Capital Territory,21
Nigeria,Plateau,21
India,Jharkhand,20
Latvia,Carnikavas,20
Russian Federation,Tomskaya oblast',20
Puerto Rico,Fajardo,20
Ukraine,Sums'ka Oblast',20
Slovenia,Straza,20
Jamaica,Saint Andrew,20
Iceland,Sudurnes,20
Indonesia,Jawa Tengah,20
Kuwait,Al Farwaniyah,20
Morocco,Meknes-Tafilalet,20
Slovenia,Kanal,20
Namibia,Khomas,20
Morocco,Souss-Massa-Draa,20
Burkina Faso,Kadiogo,19
Luxembourg,Grevenmacher,19
Slovenia,Ruse,19
Japan,Hokkaido,19
Latvia,Talsu,19
"Moldova, Republic of",Cimislia,19
"Moldova, Republic of",Straseni,19
Ukraine,Chernihivs'ka Oblast',19
El Salvador,San Miguel,19
Latvia,Jaunjelgavas,19
Slovenia,Sostanj,19
"Moldova, Republic of",Telenesti,19
Tunisia,Manouba,19
Russian Federation,Chelyabinskaya oblast',19
Ecuador,Imbabura,19
Belize,Belize,19
Cyprus,Larnaka,19
China,Liaoning,19
Puerto Rico,Yabucoa,19
"Moldova, Republic of",Floresti,18
Dominican Republic,Duarte,18
Mozambique,Nampula,18
"Venezuela, Bolivarian Republic of",Aragua,18
Iceland,Sudurland,18
Uganda,Kampala,18
New Caledonia,Province Sud,18
San Marino,San Marino,18
Puerto Rico,Caguas,18
Dominican Republic,Espaillat,18
Dominican Republic,San Juan,18
Greece,Dhodhekanisos,18
El Salvador,San Vicente,18
China,Hunan,18
Iceland,Vesturland,18
"Moldova, Republic of",Edinet,18
Latvia,Beverinas,18
Slovenia,Bovec,18
Slovenia,Slovenske Konjice,17
Ukraine,Zhytomyrs'ka Oblast',17
Bangladesh,Khulna,17
Iceland,Austurland,17
Thailand,Chon Buri,17
Slovenia,Lendava,17
Djibouti,Djibouti,17
"Moldova, Republic of",Singerei,17
Bahamas,New Providence,17
Colombia,Vaupes,17
Slovenia,Prebold,17
"Moldova, Republic of","Gagauzia, Unitatea teritoriala autonoma",17
Gibraltar,Gibraltar,17
Slovenia,Ljutomer,17
China,Hubei,17
Philippines,Leyte,17
Viet Nam,Lai Chau,17
Russian Federation,Khabarovskiy kray,16
Slovenia,Tolmin,16
Australia,-,16
Saudi Arabia,Al Madinah al Munawwarah,16
Slovenia,Radlje ob Dravi,16
Russian Federation,Volgogradskaya oblast',16
Russian Federation,Irkutskaya oblast',16
"Macedonia, The Former Yugoslav Republic of",Petrovec,16
Japan,Hiroshima,16
Slovenia,Ziri,16
Russian Federation,Kaliningradskaya oblast',16
Ukraine,Volyns'ka Oblast',16
Slovenia,Divaca,16
Slovenia,Idrija,16
"Moldova, Republic of",Anenii Noi,16
Syrian Arab Republic,Rif Dimashq,16
Puerto Rico,Bayamon,16
Cayman Islands,Cayman Islands,16
Ukraine,Chernivets'ka Oblast',16
Slovenia,Destrnik,16
Ukraine,Rivnens'ka Oblast',16
Cameroon,Centre,16
Albania,Durres,15
China,Jiangxi,15
Viet Nam,Bac Kan,15
"Moldova, Republic of",Ungheni,15
"Iran, Islamic Republic of",Esfahan,15
"Moldova, Republic of",Calarasi,15
Philippines,Surigao del Norte,15
Qatar,Ar Rayyan,15
Algeria,Boumerdes,15
Morocco,Doukhala-Abda,15
Russian Federation,Novosibirskaya oblast',15
Russian Federation,Samarskaya oblast',15
El Salvador,La Union,15
Belarus,Brestskaya Voblasts',15
Japan,Ibaraki,15
Libya,Tarabulus,15
Bermuda,Hamilton,15
"Iran, Islamic Republic of",Alborz,15
Ukraine,Cherkas'ka Oblast',14
Israel,HaDarom,14
Algeria,Blida,14
Slovenia,Ajdovscina,14
Ethiopia,Adis Abeba,14
Slovenia,Menges,14
Thailand,Nakhon Ratchasima,14
"Moldova, Republic of",Criuleni,14
Liechtenstein,Mauren,14
Nicaragua,Nueva Segovia,14
Slovenia,Vodice,14
Slovenia,Horjul,14
Mauritania,Nouakchott,14
Slovakia,-,14
Latvia,Salacgrivas,14
Italy,-,14
Cabo Verde,Praia,14
Algeria,Setif,13
Uruguay,Soriano,13
Ukraine,Luhans'ka Oblast',13
Montenegro,Kotor,13
Peru,Huancavelica,13
Turkmenistan,Ahal,13
China,Shaanxi,13
Qatar,Al Wakrah,13
Russian Federation,Krasnoyarskiy kray,13
Japan,Shizuoka,13
"Venezuela, Bolivarian Republic of",Lara,13
Kyrgyzstan,Bishkek,13
"Moldova, Republic of",Glodeni,13
Latvia,Iecavas,13
Puerto Rico,San Juan,13
"Taiwan, Province of China",Kao-hsiung,13
Greece,Messinia,13
"Bolivia, Plurinational State of",Oruro,13
Japan,Miyagi,13
Russian Federation,Rostovskaya oblast',13
Aruba,Aruba (general),13
Sudan,Khartoum,13
Cyprus,Pafos,13
China,Guangxi,13
Gabon,Ogooue-Maritime,13
Russian Federation,Voronezhskaya oblast',13
Slovenia,Kobarid,12
India,Manipur,12
"Iran, Islamic Republic of",Azarbayjan-e Sharqi,12
Slovenia,Store,12
"Bonaire, Sint Eustatius and Saba",Bonaire,12
Philippines,Sorsogon,12
Thailand,Pathum Thani,12
Latvia,Madonas,12
Slovenia,Litija,12
Zimbabwe,Bulawayo,12
Cabo Verde,Sal,12
"Venezuela, Bolivarian Republic of",Nueva Esparta,12
Russian Federation,Yaroslavskaya oblast',12
Greece,Kerkira,12
"Iran, Islamic Republic of",Khorasan-e Razavi,12
Turkey,-,12
Uruguay,Salto,12
Malaysia,Pahang,12
Puerto Rico,San Lorenzo,12
Papua New Guinea,National Capital District,12
Japan,Kyoto,12
Egypt,Al Qalyubiyah,12
"Iran, Islamic Republic of",Mazandaran,12
Tunisia,Ben Arous,11
Slovenia,Log-Dragomer,11
"Congo, The Democratic Republic of The",Katanga,11
Greece,Korinthia,11
Dominican Republic,Monte Plata,11
Kazakhstan,Almaty,11
Dominican Republic,Azua,11
Algeria,Batna,11
Azerbaijan,Agdas,11
"Korea, Republic of",Incheon,11
"Korea, Republic of",Chungnam,11
Indonesia,Bali,11
Nigeria,Kaduna,11
Algeria,Tizi Ouzou,11
Slovenia,Sentilj,11
Mongolia,Ulaanbaatar,11
Uruguay,Paysandu,11
"Virgin Islands, British",British Virgin Islands,11
"Moldova, Republic of",Causeni,11
Iraq,As Sulaymaniyah,11
Slovenia,Zelezniki,11
Turkey,Ardahan,11
Tunisia,Jendouba,11
Slovenia,Lovrenc na Pohorju,11
Indonesia,Yogyakarta,11
Ecuador,Carchi,11
Slovenia,Ilirska Bistrica,11
Swaziland,Hhohho,11
Bangladesh,Sylhet,11
Morocco,Gharb-Chrarda-Beni Hssen,11
"Moldova, Republic of",Riscani,11
Russian Federation,Tambovskaya oblast',11
Russian Federation,Tul'skaya oblast',11
Azerbaijan,Zaqatala,11
Russian Federation,-,10
Brazil,Amapa,10
Andorra,Andorra la Vella,10
Niger,Niamey,10
Lebanon,Nabatiye,10
Malawi,Blantyre,10
"Macedonia, The Former Yugoslav Republic of",Stip,10
Tunisia,Madanin,10
Saudi Arabia,Jazan,10
Philippines,Sultan Kudarat,10
India,-,10
Greece,Ioannina,10
Philippines,Camarines Norte,10
Slovenia,Turnisce,10
Syrian Arab Republic,Tartus,10
Russian Federation,Ryazanskaya oblast',10
Sri Lanka,North Western Province,10
Zambia,Lusaka,10
Greece,Akhaia,10
Trinidad and Tobago,Trinidad and Tobago,10
Somalia,Banaadir,10
Slovenia,Sempeter-Vrtojba,10
"Tanzania, United Republic of",Lindi,10
Dominican Republic,El Seibo,10
Iraq,Dahuk,10
Ukraine,Sevastopol',10
Jamaica,Clarendon,10
Albania,Elbasan,10
Dominican Republic,Peravia,10
Sri Lanka,Central Province,10
Peru,Pasco,10
"Iran, Islamic Republic of",Hormozgan,9
Kuwait,Hawalli,9
Dominican Republic,Hato Mayor,9
"Iran, Islamic Republic of",Fars,9
Slovenia,Cerkno,9
Latvia,Liepajas,9
Colombia,Guaviare,9
"Macedonia, The Former Yugoslav Republic of",Gostivar,9
Puerto Rico,Moca,9
Japan,-,9
Russian Federation,"Sakha, Respublika",9
Malaysia,Kedah,9
"Iran, Islamic Republic of",Golestan,9
Indonesia,Sumatera Utara,9
Azerbaijan,Naxcivan,9
Thailand,Nonthaburi,9
Denmark,-,9
"Bonaire, Sint Eustatius and Saba",Sint Eustatius,9
"Iran, Islamic Republic of",Qom,9
Ecuador,Zamora-Chinchipe,9
Puerto Rico,Cayey,9
Russian Federation,Tyumenskaya oblast',9
Barbados,Saint Michael,9
Russian Federation,Nizhegorodskaya oblast',9
Azerbaijan,Sumqayit,9
Dominican Republic,-,9
Iraq,Al Basrah,9
Burundi,Bujumbura Mairie,9
Albania,Vlore,9
Latvia,Saldus,9
Russian Federation,Yamalo-Nenetskiy avtonomnyy okrug,9
Georgia,Kvemo Kartli,9
Philippines,Agusan del Sur,9
"Korea, Republic of",Gyeongbuk,9
"Macedonia, The Former Yugoslav Republic of",Strumica,8
Latvia,Jaunpils,8
Andorra,Escaldes-Engordany,8
Bangladesh,Rajshahi,8
Philippines,Marinduque,8
Philippines,Maguindanao,8
Jamaica,Manchester,8
Algeria,Mascara,8
"Bolivia, Plurinational State of",Chuquisaca,8
Russian Federation,Murmanskaya oblast',8
Morocco,Taza-Al Hoceima-Taounate,8
Japan,Nagano,8
Uruguay,Colonia,8
Indonesia,Banten,8
Serbia,-,8
Bahrain,Al Muharraq,8
Thailand,Surat Thani,8
Azerbaijan,Astara,8
Bangladesh,-,8
Latvia,Kokneses,8
Japan,Okinawa,8
Puerto Rico,Vega Alta,8
Liberia,Montserrado,8
Russian Federation,Omskaya oblast',8
Liechtenstein,Triesenberg,8
Ukraine,Khersons'ka Oblast',8
"Korea, Republic of",Gyeongnam,8
Japan,Tochigi,8
Greece,Lasithi,8
Botswana,Kgatleng,8
Algeria,Ain Defla,8
Thailand,Phuket,8
Russian Federation,Lipetskaya oblast',8
El Salvador,Cuscatlan,8
Nicaragua,Esteli,8
Yemen,Hadramawt,8
India,Tripura,8
Thailand,Rayong,7
Andorra,Encamp,7
Sri Lanka,Eastern Province,7
Pakistan,Azad Kashmir,7
Greenland,Qaasuitsup Kommunia,7
Honduras,Comayagua,7
Greece,Magnisia,7
China,Tianjin,7
Kazakhstan,Qaraghandy oblysy,7
Japan,Nara,7
Uganda,Wakiso,7
Japan,Mie,7
Uruguay,Artigas,7
Philippines,Masbate,7
Latvia,Sejas,7
Philippines,Zamboanga del Norte,7
Albania,Fier,7
Uruguay,Rocha,7
Slovenia,Vuzenica,7
Kenya,Coast,7
Brunei Darussalam,Belait,7
Russian Federation,Permskiy kray,7
Russian Federation,Astrakhanskaya oblast',7
"Macedonia, The Former Yugoslav Republic of",Ilinden,7
"Venezuela, Bolivarian Republic of",Tachira,7
Ecuador,Santa Elena,7
Colombia,Amazonas,7
"Moldova, Republic of",Nisporeni,7
Algeria,Bejaia,7
Thailand,Chiang Mai,7
"Iran, Islamic Republic of",Azarbayjan-e Gharbi,7
Montenegro,Ulcinj,7
Afghanistan,-,7
Tunisia,Al Mahdia,7
Guam,Tamuning-Tumon-Harmon Municipality,7
Malaysia,Kelantan,7
Algeria,Bouira,7
India,Puducherry,7
China,Hainan,7
"Venezuela, Bolivarian Republic of",Vargas,7
Guinea,Nzerekore,7
Algeria,Oum el Bouaghi,7
Colombia,"San Andres, Providencia y Santa Catalina",7
Puerto Rico,Penuelas,7
Uruguay,Tacuarembo,7
Puerto Rico,Humacao,7
Algeria,Chlef,7
"Moldova, Republic of",Leova,7
Iceland,Vestfirdir,7
Ghana,Ashanti,7
Japan,Gunma,7
Kuwait,Al Ahmadi,7
Japan,Fukushima,7
China,Chongqing,7
Puerto Rico,Catano,7
Greece,Kavala,7
Romania,-,7
Montenegro,Herceg-Novi,7
Central African Republic,Bangui,7
Egypt,Ad Daqahliyah,7
Cyprus,Ammochostos,7
Gambia,Banjul,7
Japan,Okayama,7
Slovenia,Zuzemberk,7
Russian Federation,Smolenskaya oblast',7
Thailand,Samut Prakan,7
Morocco,Chaouia-Ouardigha,7
Greece,Khania,7
Azerbaijan,Ucar,7
Georgia,Mtskheta-Mtianeti,6
Ghana,Brong-Ahafo,6
Algeria,Ouargla,6
El Salvador,La Paz,6
Algeria,Mila,6
Russian Federation,Arkhangel'skaya oblast',6
Sri Lanka,Northern Province,6
Greece,Ilia,6
Sri Lanka,North Central Province,6
Tajikistan,Tajikistan,6
Greece,Xanthi,6
Ghana,Eastern,6
Greece,Trikala,6
Japan,Kagawa,6
Egypt,Al Iskandariyah,6
Sierra Leone,Western Area,6
Honduras,Choluteca,6
Azerbaijan,Samaxi,6
China,-,6
China,Gansu,6
French Guiana,Guyane,6
"Macedonia, The Former Yugoslav Republic of",Kumanovo,6
Slovenia,Miren-Kostanjevica,6
Belgium,-,6
Ukraine,Avtonomna Respublika Krym,6
"Korea, Republic of",Jeonbuk,6
Jamaica,Saint James,6
Slovenia,Vipava,6
Kazakhstan,Mangghystau oblysy,6
Japan,Shiga,6
Georgia,Imereti,6
"Macedonia, The Former Yugoslav Republic of",Prilep,6
Dominican Republic,Barahona,6
Egypt,Al Gharbiyah,6
Japan,Iwate,6
Greece,Pieria,6
Guyana,Demerara-Mahaica,6
Latvia,Lubanas,6
Latvia,Aglonas,6
China,Ningxia,6
Niger,Diffa,6
Tonga,Tongatapu,6
Trinidad and Tobago,Port-of-Spain,6
Guatemala,Quetzaltenango,6
Sao Tome and Principe,Sao Tome,6
India,Goa,6
Uruguay,Cerro Largo,6
Cyprus,Keryneia,6
Dominican Republic,Salcedo,6
Puerto Rico,Hatillo,6
"Iran, Islamic Republic of",Khorasan-e Jonubi,6
Papua New Guinea,Northern,6
Syrian Arab Republic,Al Ladhiqiyah,6
Indonesia,Kalimantan Timur,6
Cameroon,Sud-Ouest,6
Croatia,-,6
Saint Vincent and The Grenadines,Saint George,6
Russian Federation,"Mariy El, Respublika",6
Panama,Herrera,6
"Moldova, Republic of",Briceni,6
Grenada,Saint George,6
Russian Federation,Penzenskaya oblast',6
China,Yunnan,6
Puerto Rico,Ponce,6
Kyrgyzstan,Chu,6
Spain,-,6
"Tanzania, United Republic of",Dodoma,6
"Iran, Islamic Republic of",Yazd,5
Philippines,Surigao del Sur,5
Latvia,Cesvaines,5
Guinea-Bissau,Bissau,5
China,Xinjiang,5
Japan,Gifu,5
China,Anhui,5
Algeria,Djelfa,5
Latvia,Alojas,5
Ecuador,Cotopaxi,5
Uruguay,Florida,5
Japan,Nagasaki,5
"Moldova, Republic of",Donduseni,5
Greece,Lakonia,5
"Palestine, State of",Gaza,5
Philippines,Basilan,5
Honduras,El Paraiso,5
Puerto Rico,Carolina,5
Saudi Arabia,Ha'il,5
Guatemala,El Progreso,5
Angola,Benguela,5
Saudi Arabia,'Asir,5
Kazakhstan,Ongtustik Qazaqstan oblysy,5
Japan,Kumamoto,5
Thailand,Songkhla,5
Montenegro,Tivat,5
Albania,Lezhe,5
Russian Federation,Ul'yanovskaya oblast',5
Thailand,Chumphon,5
Egypt,Ash Sharqiyah,5
Russian Federation,Vladimirskaya oblast',5
Brazil,Acre,5
Uruguay,San Jose,5
Greenland,Kommune Kujalleq,5
Thailand,Khon Kaen,5
Puerto Rico,Canovanas,5
Latvia,Skrundas,5
Azerbaijan,Beylaqan,5
Iceland,Nordurland vestra,5
Russian Federation,Saratovskaya oblast',5
Zambia,Copperbelt,5
Madagascar,Antsiranana,5
Japan,Fukui,5
Thailand,Nakhon Pathom,5
"Korea, Republic of",Busan,5
Latvia,Aizputes,5
"Palestine, State of",West Bank,5
Japan,Akita,5
Russian Federation,"Khakasiya, Respublika",5
Andorra,La Massana,5
Nicaragua,Granada,5
Japan,Niigata,5
"Tanzania, United Republic of",Pwani,5
Latvia,Vecumnieku,5
"Iran, Islamic Republic of",Semnan,5
Egypt,Matruh,5
Paraguay,Alto Parana,5
"Moldova, Republic of",-,5
Azerbaijan,Salyan,5
Angola,Kwanza Norte,5
Russian Federation,Belgorodskaya oblast',5
"Venezuela, Bolivarian Republic of",Monagas,5
Bahrain,Ash Shamaliyah,5
Puerto Rico,Manati,5
Albania,Kukes,5
Liechtenstein,Schaan,5
Dominican Republic,Samana,5
Maldives,Maale,5
Japan,Toyama,5
Uzbekistan,Buxoro,4
Oman,Ad Dakhiliyah,4
Russian Federation,Kostromskaya oblast',4
Congo,Pointe-Noire,4
"Moldova, Republic of",Cantemir,4
Algeria,Bordj Bou Arreridj,4
Japan,Ishikawa,4
"Macedonia, The Former Yugoslav Republic of",Ohrid,4
"Moldova, Republic of",Stefan Voda,4
Tunisia,Bajah,4
Thailand,Pattani,4
Greece,Larisa,4
Tunisia,Tozeur,4
Algeria,Msila,4
Ethiopia,Oromiya,4
Mauritius,Port Louis,4
Russian Federation,"Komi, Respublika",4
Ecuador,Bolivar,4
Philippines,-,4
Egypt,Al Ismailiyah,4
Greece,Kozani,4
"Iran, Islamic Republic of",Gilan,4
Nigeria,Rivers,4
Indonesia,Sumatera Barat,4
India,Daman and Diu,4
Austria,-,4
Greece,Rethimni,4
Algeria,Sidi Bel Abbes,4
Papua New Guinea,Morobe,4
"Korea, Republic of",Chungbuk,4
Colombia,-,4
Japan,Wakayama,4
Guam,Hagatna Municipality,4
Russian Federation,Stavropol'skiy kray,4
Greece,Rodhopi,4
Namibia,Erongo,4
Greece,Lesvos,4
Indonesia,Sumatera Selatan,4
Puerto Rico,Trujillo Alto,4
Greece,Serrai,4
Slovenia,Muta,4
Slovenia,Borovnica,4
Russian Federation,Bryanskaya oblast',4
Thailand,Prachuap Khiri Khan,4
Philippines,Nueva Vizcaya,4
Japan,Kochi,4
Guam,Dededo Municipality,4
Chad,Logone-Occidental,4
"Korea, Republic of",Ulsan,4
Comoros,Grande Comore,4
Armenia,Sirak,4
"Macedonia, The Former Yugoslav Republic of",Tearce,4
Slovenia,Sezana,4
Mauritius,Riviere du Rempart,4
Uruguay,Lavalleja,4
Saudi Arabia,Al Qasim,4
Greece,Khalkidhiki,4
Puerto Rico,Lajas,4
China,Xizang,4
Suriname,-,4
Kenya,Nyanza,4
Lao People's Democratic Republic,Xaignabouli,4
Iceland,-,4
Morocco,Tadla-Azilal,4
"Tanzania, United Republic of",Arusha,4
Japan,Saga,4
Thailand,Nan,4
Mozambique,Cabo Delgado,4
Nauru,Yaren,4
Greenland,Qeqqata Kommunia,4
Puerto Rico,Vega Baja,4
Timor-Leste,Dili,4
"Korea, Republic of",Daejeon,4
